topic,day,mentions,rolling_7d_mentions,rolling_21d_mentions
AI music,2026-04-10,3.0,3.0,3.0
AI music,2026-04-11,0.0,1.5,1.5
AI music,2026-04-12,0.0,1.0,1.0
AI music,2026-04-13,0.0,0.75,0.75
AI music,2026-04-14,0.0,0.6,0.6
AI music,2026-04-15,1.0,0.6666666666666666,0.6666666666666666
AI music,2026-04-16,1.0,0.7142857142857143,0.7142857142857143
AI music,2026-04-17,1.0,0.42857142857142855,0.75
AI music,2026-04-18,0.0,0.42857142857142855,0.6666666666666666
AI music,2026-04-19,0.0,0.42857142857142855,0.6
AI music,2026-04-20,2.0,0.7142857142857143,0.7272727272727273
AI music,2026-04-21,1.0,0.8571428571428571,0.75
AI music,2026-04-22,2.0,1.0,0.8461538461538461
AI music,2026-04-23,0.0,0.8571428571428571,0.7857142857142857
AI music,2026-04-24,1.0,0.8571428571428571,0.8
AI music,2026-04-25,1.0,1.0,0.8125
AI music,2026-04-26,0.0,1.0,0.7647058823529411
AI music,2026-04-27,0.0,0.7142857142857143,0.7222222222222222
AI music,2026-04-28,2.0,0.8571428571428571,0.7894736842105263
AI music,2026-04-29,1.0,0.7142857142857143,0.8
AI music,2026-04-30,1.0,0.8571428571428571,0.8095238095238095
AI music,2026-05-01,1.0,0.8571428571428571,0.7142857142857143
AI music,2026-05-02,0.0,0.7142857142857143,0.7142857142857143
AI music,2026-05-03,1.0,0.8571428571428571,0.7619047619047619
AI music,2026-05-04,0.0,0.8571428571428571,0.7619047619047619
AI music,2026-05-05,18.0,3.142857142857143,1.619047619047619
AI music,2026-05-06,11.0,4.571428571428571,2.0952380952380953
Digital art,2026-04-07,1.0,1.0,1.0
Digital art,2026-04-08,0.0,0.5,0.5
Digital art,2026-04-09,0.0,0.3333333333333333,0.3333333333333333
Digital art,2026-04-10,1.0,0.5,0.5
Digital art,2026-04-11,0.0,0.4,0.4
Digital art,2026-04-12,1.0,0.5,0.5
Digital art,2026-04-13,0.0,0.42857142857142855,0.42857142857142855
Digital art,2026-04-14,1.0,0.42857142857142855,0.5
Digital art,2026-04-15,0.0,0.42857142857142855,0.4444444444444444
Digital art,2026-04-16,1.0,0.5714285714285714,0.5
Digital art,2026-04-17,1.0,0.5714285714285714,0.5454545454545454
Digital art,2026-04-18,2.0,0.8571428571428571,0.6666666666666666
Digital art,2026-04-19,0.0,0.7142857142857143,0.6153846153846154
Digital art,2026-04-20,2.0,1.0,0.7142857142857143
Digital art,2026-04-21,0.0,0.8571428571428571,0.6666666666666666
Digital art,2026-04-22,0.0,0.8571428571428571,0.625
Digital art,2026-04-23,0.0,0.7142857142857143,0.5882352941176471
Digital art,2026-04-24,0.0,0.5714285714285714,0.5555555555555556
Digital art,2026-04-25,2.0,0.5714285714285714,0.631578947368421
Digital art,2026-04-26,0.0,0.5714285714285714,0.6
Digital art,2026-04-27,1.0,0.42857142857142855,0.6190476190476191
Digital art,2026-04-28,1.0,0.5714285714285714,0.6190476190476191
Digital art,2026-04-29,1.0,0.7142857142857143,0.6666666666666666
Digital art,2026-04-30,0.0,0.7142857142857143,0.6666666666666666
Digital art,2026-05-01,1.0,0.8571428571428571,0.6666666666666666
Digital art,2026-05-02,1.0,0.7142857142857143,0.7142857142857143
Digital art,2026-05-03,0.0,0.7142857142857143,0.6666666666666666
Digital art,2026-05-04,0.0,0.5714285714285714,0.6666666666666666
