topic,scenario,impact_score,adjusted_multimodal_score
Digital art,AI Regulation Crackdown,-0.4179632836854867,0.5229764038148308
Digital art,Climate Activism Surge,0.13863526151714584,0.6621260401154889
Digital art,Creator Economy Boom,0.3851770003463803,0.7237614748227975
Digital art,Mental Health Priority Shift,0.04953238656044337,0.6398503213763133
Digital art,Recession Shock,-0.14218219605126428,0.5919216757233864
running,AI Regulation Crackdown,-0.14994204852485976,0.5298058179327451
running,Climate Activism Surge,0.03558976690926626,0.5761887717912766
running,Creator Economy Boom,0.10093643781540569,0.5925254395178114
running,Mental Health Priority Shift,0.015365853658536587,0.5711327934785941
running,Recession Shock,-0.037033192355117886,0.5580330319751806
AI music,AI Regulation Crackdown,-0.37168052939166063,0.45147090551556246
AI music,Climate Activism Surge,0.0755593163041982,0.5632808669395272
AI music,Creator Economy Boom,0.2959835070595485,0.6183869146283648
AI music,Mental Health Priority Shift,0.02344790833999467,0.5502530149484763
AI music,Recession Shock,-0.12940267204351494,0.5120403698525989
Sustainable fashion,AI Regulation Crackdown,-0.2440562658651842,0.3679433405235981
Sustainable fashion,Climate Activism Surge,0.08821251629569388,0.45101053606381764
Sustainable fashion,Creator Economy Boom,0.25069149353117204,0.4916302803726872
Sustainable fashion,Mental Health Priority Shift,0.042265080016413624,0.4395236769939976
Sustainable fashion,Recession Shock,-0.09312589430661139,0.4056759334132413
cycling,AI Regulation Crackdown,-0.12140291224660714,0.39625634498921186
cycling,Climate Activism Surge,0.028866869640547185,0.43382379046100045
cycling,Creator Economy Boom,0.08001626169656229,0.4466111384750042
cycling,Mental Health Priority Shift,0.02323609226594301,0.4324160961173494
cycling,Recession Shock,-0.028052599525327744,0.4195939231695317
swimming,AI Regulation Crackdown,-0.14709557694943962,0.3447485022601776
swimming,Climate Activism Surge,0.03590104243930596,0.390497657107364
swimming,Creator Economy Boom,0.1285858119270791,0.41366884947930727
swimming,Mental Health Priority Shift,0.03278688524590164,0.3897191178090129
swimming,Recession Shock,-0.05238879756195964,0.3684251971070476
Mindfulness,AI Regulation Crackdown,-0.03749605304704769,0.36481866047789835
Mindfulness,Climate Activism Surge,0.039864224818440167,0.3841587299442703
Mindfulness,Creator Economy Boom,0.057822860751499845,0.3886483889275352
Mindfulness,Mental Health Priority Shift,0.0723081780865172,0.39226971826128954
Mindfulness,Recession Shock,-0.004025892011367227,0.37318620073681846
