topic,day,mentions,rolling_7d_mentions,rolling_21d_mentions
AI music,2026-03-02,1.0,1.0,1.0
AI music,2026-03-03,0.0,0.5,0.5
AI music,2026-03-04,0.0,0.3333333333333333,0.3333333333333333
AI music,2026-03-05,0.0,0.25,0.25
AI music,2026-03-06,1.0,0.4,0.4
AI music,2026-03-07,1.0,0.5,0.5
AI music,2026-03-08,1.0,0.5714285714285714,0.5714285714285714
AI music,2026-03-09,0.0,0.42857142857142855,0.5
AI music,2026-03-10,2.0,0.7142857142857143,0.6666666666666666
AI music,2026-03-11,1.0,0.8571428571428571,0.7
AI music,2026-03-12,4.0,1.4285714285714286,1.0
AI music,2026-03-13,0.0,1.2857142857142858,0.9166666666666666
AI music,2026-03-14,0.0,1.1428571428571428,0.8461538461538461
AI music,2026-03-15,5.0,1.7142857142857142,1.1428571428571428
AI music,2026-03-16,1.0,1.8571428571428572,1.1333333333333333
AI music,2026-03-17,2.0,1.8571428571428572,1.1875
AI music,2026-03-18,0.0,1.7142857142857142,1.1176470588235294
AI music,2026-03-19,1.0,1.2857142857142858,1.1111111111111112
AI music,2026-03-20,1.0,1.4285714285714286,1.105263157894737
AI music,2026-03-21,2.0,1.7142857142857142,1.15
AI music,2026-03-22,3.0,1.4285714285714286,1.2380952380952381
AI music,2026-03-23,1.0,1.4285714285714286,1.2380952380952381
AI music,2026-03-24,0.0,1.1428571428571428,1.2380952380952381
AI music,2026-03-25,1.0,1.2857142857142858,1.2857142857142858
AI music,2026-03-26,0.0,1.1428571428571428,1.2857142857142858
AI music,2026-03-27,0.0,1.0,1.2380952380952381
AI music,2026-03-28,5.0,1.4285714285714286,1.4285714285714286
AI music,2026-03-29,0.0,1.0,1.380952380952381
AI music,2026-03-30,0.0,0.8571428571428571,1.380952380952381
AI music,2026-03-31,0.0,0.8571428571428571,1.2857142857142858
AI music,2026-04-01,1.0,0.8571428571428571,1.2857142857142858
AI music,2026-04-02,0.0,0.8571428571428571,1.0952380952380953
AI music,2026-04-03,4.0,1.4285714285714286,1.2857142857142858
AI music,2026-04-04,1.0,0.8571428571428571,1.3333333333333333
AI music,2026-04-05,0.0,0.8571428571428571,1.0952380952380953
AI music,2026-04-06,1.0,1.0,1.0952380952380953
AI music,2026-04-07,0.0,1.0,1.0
AI music,2026-04-08,1.0,1.0,1.0476190476190477
AI music,2026-04-09,1.0,1.1428571428571428,1.0476190476190477
AI music,2026-04-10,0.0,0.5714285714285714,1.0
AI music,2026-04-11,1.0,0.5714285714285714,0.9523809523809523
AI music,2026-04-12,0.0,0.5714285714285714,0.8095238095238095
AI music,2026-04-13,1.0,0.5714285714285714,0.8095238095238095
AI music,2026-04-14,1.0,0.7142857142857143,0.8571428571428571
AI music,2026-04-15,0.0,0.5714285714285714,0.8095238095238095
AI music,2026-04-16,1.0,0.5714285714285714,0.8571428571428571
AI music,2026-04-17,1.0,0.7142857142857143,0.9047619047619048
AI music,2026-04-18,0.0,0.5714285714285714,0.6666666666666666
AI music,2026-04-19,1.0,0.7142857142857143,0.7142857142857143
AI music,2026-04-20,1.0,0.7142857142857143,0.7619047619047619
AI music,2026-04-21,0.0,0.5714285714285714,0.7619047619047619
AI music,2026-04-22,0.0,0.5714285714285714,0.7142857142857143
AI music,2026-04-23,1.0,0.5714285714285714,0.7619047619047619
